text,category,problemType,urgency,sentiment
Complaint registered from Ward 14: Fallen tree blocking colony inner road after gusty winds. Expecting quick response from authorities.,Municipal Corporation,Civic Amenities,High,Frustrated
Kindly note Bus shelter collapsed and broken glass scattered around waiting area. We need urgent intervention.,Transport,Transit Grievance,Medium,Negative
Property tax portal showing wrong calculation and pending dues.,Municipal Corporation,Property Tax,Low,Negative
Help needed: City bus route 45 consistently delayed by 1 hour daily during peak morning. Kindly look into this immediately.,Transport,Bus Delay,Medium,Negative
Fallen tree blocking colony inner road after gusty winds.,Municipal Corporation,Civic Amenities,High,Frustrated
Issue reported: Bio-medical waste discarded openly behind clinic in residential zone. We need urgent intervention.,Healthcare,Mosquito Hazard,Emergency,Frustrated
"Sir/Madam, Forest and bush fire spreading near highway residential colony, need firefighters and water tenders. Over 100 families affected in our locality.",Fire & Rescue,Wildfire Hazard,Emergency,Frustrated
Filing grievance for Pedestrian sidewalk paving stones dug up and left unfinished. We need urgent intervention.,Public Works,Potholes,Medium,Negative
"Help needed: Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Over 100 families affected in our locality.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
"Kindly note Water tank billing issue, I was overcharged for this month. Kindly look into this immediately.",Water Board,Billing Issue,Low,Negative
Trade license renewal delayed despite submitting all documents.,Municipal Corporation,Certificate Delay,Low,Neutral
Urgent complaint: Food poisoning outbreak reported from unhygienic street vendor stall. Kindly look into this immediately.,Healthcare,Food Safety,Emergency,Frustrated
"Sir/Madam, Food poisoning outbreak reported from unhygienic street vendor stall. Expecting quick response from authorities.",Healthcare,Food Safety,Emergency,Frustrated
"Stray dog menace in colony, pack of dogs chasing children and two-wheelers.",Municipal Corporation,Stray Animals,High,Frustrated
Urgent complaint: Mosquito breeding in stagnant water spreading Dengue and Malaria outbreak. We need urgent intervention.,Healthcare,Mosquito Hazard,High,Frustrated
Urgent complaint: Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Over 100 families affected in our locality.,Public Works,Open Manhole,High,Frustrated
"Filing grievance for Cylinder blast in residential apartment, fire spreading fast, call fire station rescue team. Expecting quick response from authorities.",Fire & Rescue,Cylinder Explosion,Emergency,Frustrated
"Urgent complaint: Forest and bush fire spreading near highway residential colony, need firefighters and water tenders. Kindly look into this immediately.",Fire & Rescue,Wildfire Hazard,Emergency,Frustrated
Kindly note Trade license renewal delayed despite submitting all documents. We need urgent intervention.,Municipal Corporation,Certificate Delay,Low,Neutral
Citizen alert: Traffic signal violation causing near accidents daily at cross junction. Please resolve ASAP.,Police,Traffic Violation,Medium,Negative
Filing grievance for Bridge expansion joint damaged and vibrating dangerously under traffic. Expecting quick response from authorities.,Public Works,Bridge Defect,Emergency,Frustrated
Grievance report: Open garbage dump overflowing on pedestrian walkway outside school. Expecting quick response from authorities.,Sanitation,Garbage Pile,High,Frustrated
Citizen alert: City bus route 45 consistently delayed by 1 hour daily during peak morning. Expecting quick response from authorities.,Transport,Bus Delay,Medium,Negative
Calling regarding Stormwater drain slab broken and collapsed into drain on 2nd Avenue. Expecting quick response from authorities.,Public Works,Open Manhole,High,Frustrated
Attention ward officer: Illegal construction and encroachment on public park land. We need urgent intervention.,Municipal Corporation,Encroachment,High,Frustrated
Garbage collection vehicle not coming for last 4 days in Block D.,Sanitation,Garbage Pile,High,Frustrated
"Urgent complaint: Road damaged and cracked after heavy rainfall, need urgent resurfacing. Kindly look into this immediately.",Public Works,Potholes,Medium,Negative
"Urgent complaint: Heavy smoke and flames coming from chemical warehouse, send fire engine immediately. Expecting quick response from authorities.",Fire & Rescue,Building Fire,Emergency,Frustrated
Calling regarding Open manhole on main street dangerous for pedestrians and children! Please resolve ASAP.,Public Works,Open Manhole,Emergency,Frustrated
"Sir/Madam, Power outage in Phase 2 for past 6 hours. Transformer sparked and caught fire! We need urgent intervention.",Electricity Board,Transformer Fire,Emergency,Frustrated
Kindly note Fallen tree blocking colony inner road after gusty winds. Over 100 families affected in our locality.,Municipal Corporation,Civic Amenities,High,Frustrated
Grievance report: Open manhole on main street dangerous for pedestrians and children! Please resolve ASAP.,Public Works,Open Manhole,Emergency,Frustrated
Attention ward officer: Volt-ampere drop is causing refrigerator to trip continuously. Kindly look into this immediately.,Electricity Board,Voltage Fluctuation,Medium,Neutral
"Urgent complaint: Pani nahi aa raha 2 din se, please jaldi saaf pani ki supply shuru karein. Please resolve ASAP.",Water Board,No Supply,High,Frustrated
"Road damaged and cracked after heavy rainfall, need urgent resurfacing.",Public Works,Potholes,Medium,Negative
"Incorrect electricity bill generated, showing 10x normal consumption.",Electricity Board,Meter Defect,Medium,Negative
"Grievance report: Incorrect electricity bill generated, showing 10x normal consumption. Kindly look into this immediately.",Electricity Board,Meter Defect,Medium,Negative
Urgent complaint: Streetlight pole sparking continuously with loose wiring. Kindly look into this immediately.,Electricity Board,Dangling Wire,High,Frustrated
Calling regarding Auto rickshaw drivers refusing by-meter fare and demanding double charges. Kindly look into this immediately.,Transport,Transit Grievance,Low,Negative
"Citizen alert: Underpass flooded with 3 feet of water, road completely impassable. Please resolve ASAP.",Public Works,Potholes,High,Frustrated
Urgent complaint: City bus route 45 consistently delayed by 1 hour daily during peak morning. Expecting quick response from authorities.,Transport,Bus Delay,Medium,Negative
Help needed: Garbage collection vehicle not coming for last 4 days in Block D. Expecting quick response from authorities.,Sanitation,Garbage Pile,High,Frustrated
"Complaint registered from Ward 14: Thee pidithullathu, urgent fire station rescue and fire engine required. Expecting quick response from authorities.",Fire & Rescue,Building Fire,Emergency,Frustrated
Attention ward officer: There is no water supply in our colony since yesterday morning. Pipeline issue. Expecting quick response from authorities.,Water Board,No Supply,High,Frustrated
